callback_duration_us,state,client_time,client_time_iso,pin,callback_duration,server_time,action,roundtrip_delay,id
222,1,1716908789.4701457,2024-05-28T11:06:29.470146-04:00,6,0.000222,1044.765585,-ACK,,1162378
218,0,1716908789.4900897,2024-05-28T11:06:29.490090-04:00,6,0.000218,1044.785572,-ACK,,1162379
211,1,1716908791.4701052,2024-05-28T11:06:31.470105-04:00,6,0.000211,1046.765623,-ACK,,1162380
227,0,1716908791.4901047,2024-05-28T11:06:31.490105-04:00,6,0.000227,1046.785628,-ACK,,1162381
224,1,1716908793.4701695,2024-05-28T11:06:33.470170-04:00,6,0.000224,1048.76568,-ACK,,1162382
222,0,1716908793.4901404,2024-05-28T11:06:33.490140-04:00,6,0.000222,1048.785676,-ACK,,1162383
219,1,1716908832.3833456,2024-05-28T11:07:12.383346-04:00,6,0.000219,13.937953,-ACK,,1162384
220,0,1716908832.4033465,2024-05-28T11:07:12.403347-04:00,6,0.00022,13.957956,-ACK,,1162385
225,1,1716908834.3834596,2024-05-28T11:07:14.383460-04:00,6,0.000225,15.938004,-ACK,,1162386
210,0,1716908834.403325,2024-05-28T11:07:14.403325-04:00,6,0.00021,15.957976,-ACK,,1162387
222,1,1716908836.3833628,2024-05-28T11:07:16.383363-04:00,6,0.000222,17.93805,-ACK,,1162388
225,0,1716908836.4033175,2024-05-28T11:07:16.403317-04:00,6,0.000225,17.958046,-ACK,,1162389
223,1,1716908838.3833773,2024-05-28T11:07:18.383377-04:00,6,0.000223,19.938091,-ACK,,1162390
223,0,1716908838.4032998,2024-05-28T11:07:18.403300-04:00,6,0.000223,19.958083,-ACK,,1162391
210,1,1716908840.383329,2024-05-28T11:07:20.383329-04:00,6,0.00021,21.938125,-ACK,,1162392
217,0,1716908840.4033785,2024-05-28T11:07:20.403378-04:00,6,0.000217,21.958144,-ACK,,1162393
222,1,1716908842.3834732,2024-05-28T11:07:22.383473-04:00,6,0.000222,23.938187,-ACK,,1162394
225,0,1716908842.4033594,2024-05-28T11:07:22.403359-04:00,6,0.000225,23.958173,-ACK,,1162395
212,1,1716908844.383348,2024-05-28T11:07:24.383348-04:00,6,0.000212,25.938219,-ACK,,1162396
219,0,1716908844.4032946,2024-05-28T11:07:24.403295-04:00,6,0.000219,25.958209,-ACK,,1162397
223,1,1716908846.3834534,2024-05-28T11:07:26.383453-04:00,6,0.000223,27.938272,-ACK,,1162398
210,0,1716908846.4032447,2024-05-28T11:07:26.403245-04:00,6,0.00021,27.958247,-ACK,,1162399
224,1,1716908848.3834338,2024-05-28T11:07:28.383434-04:00,6,0.000224,29.938322,-ACK,,1162400
222,0,1716908848.403369,2024-05-28T11:07:28.403369-04:00,6,0.000222,29.958319,-ACK,,1162401
217,1,1716908850.3834481,2024-05-28T11:07:30.383448-04:00,6,0.000217,31.938351,-ACK,,1162402
222,0,1716908850.4032633,2024-05-28T11:07:30.403263-04:00,6,0.000222,31.958368,-ACK,,1162403
220,1,1716908852.3834457,2024-05-28T11:07:32.383446-04:00,6,0.00022,33.938405,-ACK,,1162404
224,0,1716908852.4032683,2024-05-28T11:07:32.403268-04:00,6,0.000224,33.958401,-ACK,,1162405
221,1,1716908854.383427,2024-05-28T11:07:34.383427-04:00,6,0.000221,35.93845,-ACK,,1162406
222,0,1716908854.4032905,2024-05-28T11:07:34.403291-04:00,6,0.000222,35.958445,-ACK,,1162407
225,1,1716908856.383415,2024-05-28T11:07:36.383415-04:00,6,0.000225,37.938495,-ACK,,1162408
221,0,1716908856.4033668,2024-05-28T11:07:36.403367-04:00,6,0.000221,37.958495,-ACK,,1162409
214,1,1716908858.3833854,2024-05-28T11:07:38.383385-04:00,6,0.000214,39.938527,-ACK,,1162410
218,0,1716908858.4032714,2024-05-28T11:07:38.403271-04:00,6,0.000218,39.958525,-ACK,,1162411
224,1,1716908860.383384,2024-05-28T11:07:40.383384-04:00,6,0.000224,41.938582,-ACK,,1162412
221,0,1716908860.4032671,2024-05-28T11:07:40.403267-04:00,6,0.000221,41.95859,-ACK,,1162413
224,1,1716908940.6144216,2024-05-28T11:09:00.614422-04:00,6,0.000224,122.171526,-ACK,,1162414
219,0,1716908940.6344159,2024-05-28T11:09:00.634416-04:00,6,0.000219,122.191516,-ACK,,1162415
220,1,1716908942.6143944,2024-05-28T11:09:02.614394-04:00,6,0.00022,124.171568,-ACK,,1162416
220,0,1716908942.6343732,2024-05-28T11:09:02.634373-04:00,6,0.00022,124.191562,-ACK,,1162417
224,1,1716908944.6144712,2024-05-28T11:09:04.614471-04:00,6,0.000224,126.171608,-ACK,,1162418
211,0,1716908944.6343453,2024-05-28T11:09:04.634345-04:00,6,0.000211,126.191597,-ACK,,1162419
224,1,1716908946.614407,2024-05-28T11:09:06.614407-04:00,6,0.000224,128.171658,-ACK,,1162420
223,0,1716908946.6354487,2024-05-28T11:09:06.635449-04:00,6,0.000223,128.191648,-ACK,,1162421
220,1,1716908948.6144428,2024-05-28T11:09:08.614443-04:00,6,0.00022,130.1717,-ACK,,1162422
219,0,1716908948.6343882,2024-05-28T11:09:08.634388-04:00,6,0.000219,130.191697,-ACK,,1162423
224,1,1716908950.6144567,2024-05-28T11:09:10.614457-04:00,6,0.000224,132.171745,-ACK,,1162424
220,0,1716908950.6344264,2024-05-28T11:09:10.634426-04:00,6,0.00022,132.191731,-ACK,,1162425
226,1,1716908952.6144469,2024-05-28T11:09:12.614447-04:00,6,0.000226,134.171795,-ACK,,1162426
223,0,1716908952.634368,2024-05-28T11:09:12.634368-04:00,6,0.000223,134.191786,-ACK,,1162427
220,1,1716908954.6144001,2024-05-28T11:09:14.614400-04:00,6,0.00022,136.171832,-ACK,,1162428
222,0,1716908954.634436,2024-05-28T11:09:14.634436-04:00,6,0.000222,136.19183,-ACK,,1162429
227,1,1716908956.6144495,2024-05-28T11:09:16.614450-04:00,6,0.000227,138.171885,-ACK,,1162430
220,0,1716908956.6343534,2024-05-28T11:09:16.634353-04:00,6,0.00022,138.191881,-ACK,,1162431
223,1,1716908958.6144202,2024-05-28T11:09:18.614420-04:00,6,0.000223,140.171927,-ACK,,1162432
213,0,1716908958.6343477,2024-05-28T11:09:18.634348-04:00,6,0.000213,140.191905,-ACK,,1162433
224,1,1716908960.6143923,2024-05-28T11:09:20.614392-04:00,6,0.000224,142.171979,-ACK,,1162434
220,0,1716908960.6343918,2024-05-28T11:09:20.634392-04:00,6,0.00022,142.191956,-ACK,,1162435
224,1,1716908962.6143749,2024-05-28T11:09:22.614375-04:00,6,0.000224,144.172013,-ACK,,1162436
220,0,1716908962.634456,2024-05-28T11:09:22.634456-04:00,6,0.00022,144.192009,-ACK,,1162437
217,1,1716908964.6144419,2024-05-28T11:09:24.614442-04:00,6,0.000217,146.172059,-ACK,,1162438
226,0,1716908964.6343694,2024-05-28T11:09:24.634369-04:00,6,0.000226,146.192065,-ACK,,1162439
226,1,1716908966.6144433,2024-05-28T11:09:26.614443-04:00,6,0.000226,148.172112,-ACK,,1162440
210,0,1716908966.6343982,2024-05-28T11:09:26.634398-04:00,6,0.00021,148.192083,-ACK,,1162441
223,1,1716908968.6144278,2024-05-28T11:09:28.614428-04:00,6,0.000223,150.17216,-ACK,,1162442
209,0,1716908968.6343474,2024-05-28T11:09:28.634347-04:00,6,0.000209,150.192127,-ACK,,1162443
