isotime,session_id,mark_id,mark_name,dicoms_id,dicoms_isotime,dicoms_offset,dicoms_deviation,birch_id,birch_isotime,birch_offset,birch_deviation,psychopy_id,psychopy_isotime,psychopy_offset,psychopy_deviation,reproevents_id,reproevents_isotime,reproevents_offset,reproevents_deviation,qrinfo_id,reprostim_video_isotime,reprostim_video_offset,reprostim_video_deviation
2024-05-28 11:07:12.377772,ses-20240528,mark-000005,006-func-bold_task-rest_run-1_start,dicoms-000142,2024-05-28 11:13:22.495000,370.117228,0.9996044422421413,birch-000004,2024-05-28 11:07:12.377772,0.0,1.0,,,,,reproevents-000004,2024-05-28 11:07:12.383346,0.005574,0.9996057988481701,,,,
2024-05-28 11:07:12.377772,ses-20240528,mark-000006,006-func-bold_task-rest_run-1_scan-0,dicoms-000142,2024-05-28 11:13:22.495000,370.117228,,birch-000004,2024-05-28 11:07:12.377772,0.0,1.0,,,,,reproevents-000004,2024-05-28 11:07:12.383346,0.005574,,,,,
2024-05-28 11:07:12.377772,ses-20240528,mark-000007,006-func-bold_task-rest_run-1_scan-1,dicoms-000143,2024-05-28 11:13:24.495000,372.117228,,"birch-000005,birch-000004",2024-05-28 11:07:12.377772,0.0,1.0,,,,,"reproevents-000005,reproevents-000004",2024-05-28 11:07:12.383346,0.005574,,,,,
2024-05-28 11:07:14.382652,ses-20240528,mark-000008,006-func-bold_task-rest_run-1_scan-2,dicoms-000144,2024-05-28 11:13:26.495000,372.112348,,"birch-000006,birch-000005",2024-05-28 11:07:14.382652,0.0,1.0,,,,,"reproevents-000006,reproevents-000005",2024-05-28 11:07:14.383460,0.000808,,,,,
2024-05-28 11:07:16.378552,ses-20240528,mark-000009,006-func-bold_task-rest_run-1_scan-3,dicoms-000145,2024-05-28 11:13:28.495000,372.116448,,"birch-000007,birch-000006",2024-05-28 11:07:16.378552,0.0,1.0,,,,,"reproevents-000007,reproevents-000006",2024-05-28 11:07:16.383363,0.004811,,,,,
2024-05-28 11:07:18.384913,ses-20240528,mark-000010,006-func-bold_task-rest_run-1_scan-4,dicoms-000146,2024-05-28 11:13:30.495000,372.110087,,"birch-000008,birch-000007",2024-05-28 11:07:18.384913,0.0,1.0,,,,,"reproevents-000008,reproevents-000007",2024-05-28 11:07:18.383377,-0.0015359999999999818,,,,,
2024-05-28 11:07:20.380289,ses-20240528,mark-000011,006-func-bold_task-rest_run-1_scan-5,dicoms-000147,2024-05-28 11:13:32.495000,372.114711,,"birch-000009,birch-000008",2024-05-28 11:07:20.380289,0.0,1.0,,,,,"reproevents-000009,reproevents-000008",2024-05-28 11:07:20.383329,0.00304,,,,,
2024-05-28 11:07:22.385893,ses-20240528,mark-000012,006-func-bold_task-rest_run-1_scan-6,dicoms-000148,2024-05-28 11:13:34.495000,372.109107,,"birch-000010,birch-000009",2024-05-28 11:07:22.385893,0.0,1.0,,,,,"reproevents-000010,reproevents-000009",2024-05-28 11:07:22.383473,-0.0024199999999999777,,,,,
2024-05-28 11:07:24.389291,ses-20240528,mark-000013,006-func-bold_task-rest_run-1_scan-7,dicoms-000149,2024-05-28 11:13:36.495000,372.105709,,"birch-000011,birch-000010",2024-05-28 11:07:24.389291,0.0,1.0,,,,,"reproevents-000011,reproevents-000010",2024-05-28 11:07:24.383348,-0.005943000000000032,,,,,
2024-05-28 11:07:26.379962,ses-20240528,mark-000014,006-func-bold_task-rest_run-1_scan-8,dicoms-000150,2024-05-28 11:13:38.495000,372.115038,,"birch-000012,birch-000011",2024-05-28 11:07:26.379962,0.0,1.0,,,,,"reproevents-000012,reproevents-000011",2024-05-28 11:07:26.383453,0.003491,,,,,
2024-05-28 11:07:28.381586,ses-20240528,mark-000015,006-func-bold_task-rest_run-1_scan-9,dicoms-000151,2024-05-28 11:13:40.495000,372.113414,,"birch-000013,birch-000012",2024-05-28 11:07:28.381586,0.0,1.0,,,,,"reproevents-000013,reproevents-000012",2024-05-28 11:07:28.383434,0.001848,,,,,
2024-05-28 11:07:30.389523,ses-20240528,mark-000016,006-func-bold_task-rest_run-1_scan-10,dicoms-000152,2024-05-28 11:13:42.495000,372.105477,,"birch-000014,birch-000013",2024-05-28 11:07:30.389523,0.0,1.0,,,,,"reproevents-000014,reproevents-000013",2024-05-28 11:07:30.383448,-0.006075000000000053,,,,,
2024-05-28 11:07:32.377277,ses-20240528,mark-000017,006-func-bold_task-rest_run-1_scan-11,dicoms-000153,2024-05-28 11:13:44.495000,372.117723,,"birch-000015,birch-000014",2024-05-28 11:07:32.377277,0.0,1.0,,,,,"reproevents-000015,reproevents-000014",2024-05-28 11:07:32.383446,0.006169,,,,,
2024-05-28 11:07:34.382613,ses-20240528,mark-000018,006-func-bold_task-rest_run-1_scan-12,dicoms-000154,2024-05-28 11:13:46.495000,372.112387,,"birch-000016,birch-000015",2024-05-28 11:07:34.382613,0.0,1.0,,,,,"reproevents-000016,reproevents-000015",2024-05-28 11:07:34.383427,0.000814,,,,,
2024-05-28 11:07:36.389740,ses-20240528,mark-000019,006-func-bold_task-rest_run-1_scan-13,dicoms-000155,2024-05-28 11:13:48.495000,372.10526,,"birch-000017,birch-000016",2024-05-28 11:07:36.389740,0.0,1.0,,,,,"reproevents-000017,reproevents-000016",2024-05-28 11:07:36.383415,-0.006325000000000025,,,,,
2024-05-28 11:07:38.383853,ses-20240528,mark-000020,006-func-bold_task-rest_run-1_scan-14,dicoms-000156,2024-05-28 11:13:50.495000,372.111147,,"birch-000018,birch-000017",2024-05-28 11:07:38.383853,0.0,1.0,,,,,"reproevents-000018,reproevents-000017",2024-05-28 11:07:38.383385,-0.00046800000000002395,,,,,
2024-05-28 11:07:38.383853,ses-20240528,mark-000021,006-func-bold_task-rest_run-1_end,dicoms-000156,2024-05-28 11:13:50.495000,372.111147,,"birch-000018,birch-000017",2024-05-28 11:07:38.383853,0.0,1.0,,,,,"reproevents-000018,reproevents-000017",2024-05-28 11:07:38.383385,-0.00046800000000002395,,,,,
2024-05-28 11:09:00.610456,ses-20240528,mark-000024,007-func-bold_task-rest_run-2_scan-1,dicoms-000158,2024-05-28 11:15:13.502500,372.892044,,birch-000019,2024-05-28 11:09:00.610456,0.0,1.0,psychopy-000010,2024-05-28 11:09:00.581286,-0.02917000000000003,,reproevents-000019,2024-05-28 11:09:00.614422,0.003966,,"qrinfo-000009,qrinfo-000010",2024-05-28 11:09:02.559,1.948544,
2024-05-28 11:09:02.609937,ses-20240528,mark-000025,007-func-bold_task-rest_run-2_scan-2,dicoms-000159,2024-05-28 11:15:15.502500,372.892563,,birch-000020,2024-05-28 11:09:02.609937,0.0,1.0,psychopy-000011,2024-05-28 11:09:02.580060,-0.029877000000000042,,reproevents-000020,2024-05-28 11:09:02.614394,0.004457,,qrinfo-000011,2024-05-28 11:09:04.559,1.949063,
2024-05-28 11:09:04.620556,ses-20240528,mark-000026,007-func-bold_task-rest_run-2_scan-3,dicoms-000160,2024-05-28 11:15:17.502500,372.881944,,birch-000021,2024-05-28 11:09:04.620556,0.0,1.0,psychopy-000012,2024-05-28 11:09:04.580064,-0.04049199999999997,,reproevents-000021,2024-05-28 11:09:04.614471,-0.006085000000000007,,qrinfo-000012,2024-05-28 11:09:06.593,1.9724439999999999,
2024-05-28 11:09:06.616974,ses-20240528,mark-000027,007-func-bold_task-rest_run-2_scan-4,dicoms-000161,2024-05-28 11:15:19.502500,372.885526,,birch-000022,2024-05-28 11:09:06.616974,0.0,1.0,psychopy-000013,2024-05-28 11:09:06.580088,-0.036885999999999974,,reproevents-000022,2024-05-28 11:09:06.614407,-0.002566999999999986,,qrinfo-000013,2024-05-28 11:09:08.559,1.942026,
2024-05-28 11:09:08.638040,ses-20240528,mark-000028,007-func-bold_task-rest_run-2_scan-5,dicoms-000162,2024-05-28 11:15:21.502500,372.86446,,birch-000023,2024-05-28 11:09:08.638040,0.0,1.0,psychopy-000014,2024-05-28 11:09:08.580294,-0.057745999999999964,,reproevents-000023,2024-05-28 11:09:08.614443,-0.02359699999999998,,qrinfo-000014,2024-05-28 11:09:10.559,1.92096,
2024-05-28 11:09:10.610367,ses-20240528,mark-000029,007-func-bold_task-rest_run-2_scan-6,dicoms-000163,2024-05-28 11:15:23.502500,372.892133,,birch-000024,2024-05-28 11:09:10.610367,0.0,1.0,psychopy-000015,2024-05-28 11:09:10.580384,-0.029982999999999982,,reproevents-000024,2024-05-28 11:09:10.614457,0.00409,,qrinfo-000015,2024-05-28 11:09:12.576,1.965633,
2024-05-28 11:09:12.615448,ses-20240528,mark-000030,007-func-bold_task-rest_run-2_scan-7,dicoms-000164,2024-05-28 11:15:25.502500,372.887052,,birch-000025,2024-05-28 11:09:12.615448,0.0,1.0,psychopy-000016,2024-05-28 11:09:12.580551,-0.034896999999999956,,reproevents-000025,2024-05-28 11:09:12.614447,-0.0010010000000000296,,qrinfo-000016,2024-05-28 11:09:14.559,1.943552,
2024-05-28 11:09:14.619642,ses-20240528,mark-000031,007-func-bold_task-rest_run-2_scan-8,dicoms-000165,2024-05-28 11:15:27.502500,372.882858,,birch-000026,2024-05-28 11:09:14.619642,0.0,1.0,psychopy-000017,2024-05-28 11:09:14.580669,-0.038973000000000035,,reproevents-000026,2024-05-28 11:09:14.614400,-0.005241999999999969,,qrinfo-000017,2024-05-28 11:09:16.559,1.939358,
2024-05-28 11:09:16.612088,ses-20240528,mark-000032,007-func-bold_task-rest_run-2_scan-9,dicoms-000166,2024-05-28 11:15:29.502500,372.890412,,birch-000027,2024-05-28 11:09:16.612088,0.0,1.0,psychopy-000018,2024-05-28 11:09:16.580742,-0.031345999999999985,,reproevents-000027,2024-05-28 11:09:16.614450,0.002362,,qrinfo-000018,2024-05-28 11:09:18.576,1.963912,
2024-05-28 11:09:18.619613,ses-20240528,mark-000033,007-func-bold_task-rest_run-2_scan-10,dicoms-000167,2024-05-28 11:15:31.502500,372.882887,,birch-000028,2024-05-28 11:09:18.619613,0.0,1.0,psychopy-000019,2024-05-28 11:09:18.580848,-0.03876500000000005,,reproevents-000028,2024-05-28 11:09:18.614420,-0.005193000000000003,,qrinfo-000019,2024-05-28 11:09:20.559,1.939387,
2024-05-28 11:09:20.611633,ses-20240528,mark-000034,007-func-bold_task-rest_run-2_scan-11,dicoms-000168,2024-05-28 11:15:33.502500,372.890867,,birch-000029,2024-05-28 11:09:20.611633,0.0,1.0,psychopy-000020,2024-05-28 11:09:20.580971,-0.030661999999999967,,reproevents-000029,2024-05-28 11:09:20.614392,0.002759,,qrinfo-000020,2024-05-28 11:09:22.576,1.964367,
