callback_duration_us,state,client_time,client_time_iso,pin,callback_duration,server_time,action,roundtrip_delay,id
2024-03-26T14:17:27-04:00.csv:221,0,1717505315.931117,2024-06-04T08:48:35.931117-04:00,1,0.000221,584.095629,D1,,1246498
2024-03-26T14:17:27-04:00.csv:225,0,1717505315.936516,2024-06-04T08:48:35.936516-04:00,2,0.000225,584.101075,D2,,1246499
2024-03-26T14:17:27-04:00.csv:216,0,1717505315.9418778,2024-06-04T08:48:35.941878-04:00,3,0.000216,584.106505,D3,,1246500
2024-03-26T14:17:27-04:00.csv:225,0,1717505315.9477203,2024-06-04T08:48:35.947720-04:00,4,0.000225,584.111932,D4,,1246501
2024-03-26T14:17:27-04:00.csv:266,0,1717505315.9530668,2024-06-04T08:48:35.953067-04:00,6,0.000266,584.117368,-ACK,,1246502
2024-03-26T14:17:27-04:00.csv:218,0,1717505315.9584217,2024-06-04T08:48:35.958422-04:00,0,0.000218,584.122785,D5,,1246503
2024-03-26T14:17:27-04:00.csv:214,0,1717505315.963886,2024-06-04T08:48:35.963886-04:00,1,0.000214,584.128192,D1,,1246504
2024-03-26T14:17:27-04:00.csv:225,0,1717505315.9693735,2024-06-04T08:48:35.969373-04:00,2,0.000225,584.133581,D2,,1246505
2024-03-26T14:17:27-04:00.csv:226,0,1717505315.9742486,2024-06-04T08:48:35.974249-04:00,3,0.000226,584.138985,D3,,1246506
2024-03-26T14:17:27-04:00.csv:221,0,1717505328.0454292,2024-06-04T08:48:48.045429-04:00,0,0.000221,596.209737,D5,,1246507
2024-03-26T14:17:27-04:00.csv:225,0,1717505328.0507915,2024-06-04T08:48:48.050792-04:00,1,0.000225,596.215252,D1,,1246508
2024-03-26T14:17:27-04:00.csv:223,0,1717505328.0560658,2024-06-04T08:48:48.056066-04:00,2,0.000223,596.220677,D2,,1246509
2024-03-26T14:17:27-04:00.csv:214,0,1717505328.0615213,2024-06-04T08:48:48.061521-04:00,3,0.000214,596.226064,D3,,1246510
2024-03-26T14:17:27-04:00.csv:225,0,1717505328.0666442,2024-06-04T08:48:48.066644-04:00,4,0.000225,596.231455,D4,,1246511
2024-03-26T14:17:27-04:00.csv:223,0,1717505328.0718682,2024-06-04T08:48:48.071868-04:00,6,0.000223,596.236855,-ACK,,1246512
2024-03-26T14:17:27-04:00.csv:210,0,1717505328.9299555,2024-06-04T08:48:48.929955-04:00,0,0.00021,597.094396,D5,,1246513
2024-03-26T14:17:27-04:00.csv:209,0,1717505328.9352477,2024-06-04T08:48:48.935248-04:00,1,0.000209,597.099846,D1,,1246514
2024-03-26T14:17:27-04:00.csv:219,0,1717505328.9409003,2024-06-04T08:48:48.940900-04:00,2,0.000219,597.105247,D2,,1246515
2024-03-26T14:17:27-04:00.csv:210,0,1717505328.9461792,2024-06-04T08:48:48.946179-04:00,3,0.00021,597.110747,D3,,1246516
2024-03-26T14:17:27-04:00.csv:216,0,1717505328.9516618,2024-06-04T08:48:48.951662-04:00,4,0.000216,597.116156,D4,,1246517
2024-03-26T14:17:27-04:00.csv:225,0,1717505328.9569995,2024-06-04T08:48:48.957000-04:00,6,0.000225,597.121567,-ACK,,1246518
2024-03-26T14:17:27-04:00.csv:211,0,1717505328.9623697,2024-06-04T08:48:48.962370-04:00,0,0.000211,597.126942,D5,,1246519
2024-03-26T14:17:27-04:00.csv:227,0,1717505328.9678106,2024-06-04T08:48:48.967811-04:00,0,0.000227,597.132339,D5,,1246520
2024-03-26T14:17:27-04:00.csv:216,0,1717505328.9731226,2024-06-04T08:48:48.973123-04:00,1,0.000216,597.137744,D1,,1246521
2024-03-26T14:17:27-04:00.csv:223,0,1717505328.9785645,2024-06-04T08:48:48.978565-04:00,2,0.000223,597.14314,D2,,1246522
2024-03-26T14:17:27-04:00.csv:221,0,1717505328.9839592,2024-06-04T08:48:48.983959-04:00,3,0.000221,597.148527,D3,,1246523
2024-03-26T14:17:27-04:00.csv:209,0,1717505328.9891791,2024-06-04T08:48:48.989179-04:00,0,0.000209,597.15391,D5,,1246524
2024-03-26T14:17:27-04:00.csv:219,0,1717505328.9947066,2024-06-04T08:48:48.994707-04:00,1,0.000219,597.159341,D1,,1246525
2024-03-26T14:17:27-04:00.csv:227,0,1717505328.9998329,2024-06-04T08:48:48.999833-04:00,2,0.000227,597.164734,D2,,1246526
2024-03-26T14:17:27-04:00.csv:223,0,1717505329.0056474,2024-06-04T08:48:49.005647-04:00,3,0.000223,597.170131,D3,,1246527
2024-03-26T14:17:27-04:00.csv:209,0,1717505329.0110087,2024-06-04T08:48:49.011009-04:00,4,0.000209,597.175605,D4,,1246528
2024-03-26T14:17:27-04:00.csv:212,0,1717505329.1941571,2024-06-04T08:48:49.194157-04:00,0,0.000212,597.358696,D5,,1246529
2024-03-26T14:17:27-04:00.csv:211,0,1717505329.1996624,2024-06-04T08:48:49.199662-04:00,1,0.000211,597.364129,D1,,1246530
2024-03-26T14:17:27-04:00.csv:226,0,1717505329.2049804,2024-06-04T08:48:49.204980-04:00,2,0.000226,597.369615,D2,,1246531
2024-03-26T14:17:27-04:00.csv:215,0,1717505329.2105372,2024-06-04T08:48:49.210537-04:00,3,0.000215,597.375046,D3,,1246532
2024-03-26T14:17:27-04:00.csv:216,0,1717505329.2158535,2024-06-04T08:48:49.215853-04:00,4,0.000216,597.380423,D4,,1246533
2024-03-26T14:17:27-04:00.csv:228,0,1717505329.2210433,2024-06-04T08:48:49.221043-04:00,6,0.000228,597.385823,-ACK,,1246534
2024-03-26T14:17:27-04:00.csv:224,0,1717505329.384951,2024-06-04T08:48:49.384951-04:00,4,0.000224,597.549549,D4,,1246535
2024-03-26T14:17:27-04:00.csv:214,0,1717505329.390492,2024-06-04T08:48:49.390492-04:00,6,0.000214,597.554977,-ACK,,1246536
2024-03-26T14:17:27-04:00.csv:221,0,1717505329.4689708,2024-06-04T08:48:49.468971-04:00,0,0.000221,597.633483,D5,,1246537
2024-03-26T14:17:27-04:00.csv:213,0,1717505329.4743698,2024-06-04T08:48:49.474370-04:00,1,0.000213,597.638942,D1,,1246538
2024-03-26T14:17:27-04:00.csv:215,0,1717505329.4797745,2024-06-04T08:48:49.479774-04:00,2,0.000215,597.644341,D2,,1246539
2024-03-26T14:17:27-04:00.csv:215,0,1717505329.4851675,2024-06-04T08:48:49.485168-04:00,3,0.000215,597.649775,D3,,1246540
2024-03-26T14:17:27-04:00.csv:214,0,1717505329.4905853,2024-06-04T08:48:49.490585-04:00,4,0.000214,597.655161,D4,,1246541
2024-03-26T14:17:27-04:00.csv:229,0,1717505329.4958916,2024-06-04T08:48:49.495892-04:00,6,0.000229,597.660561,-ACK,,1246542
2024-03-26T14:17:27-04:00.csv:214,0,1717505329.9243643,2024-06-04T08:48:49.924364-04:00,0,0.000214,598.088874,D5,,1246543
2024-03-26T14:17:27-04:00.csv:215,0,1717505329.9297922,2024-06-04T08:48:49.929792-04:00,1,0.000215,598.094323,D1,,1246544
2024-03-26T14:17:27-04:00.csv:226,0,1717505329.9351044,2024-06-04T08:48:49.935104-04:00,2,0.000226,598.09972,D2,,1246545
2024-03-26T14:17:27-04:00.csv:213,0,1717505329.940609,2024-06-04T08:48:49.940609-04:00,3,0.000213,598.105121,D3,,1246546
2024-03-26T14:17:27-04:00.csv:217,0,1717505329.9457579,2024-06-04T08:48:49.945758-04:00,4,0.000217,598.110493,D4,,1246547
2024-03-26T14:17:27-04:00.csv:221,0,1717505329.9511585,2024-06-04T08:48:49.951159-04:00,6,0.000221,598.115884,-ACK,,1246548
2024-03-26T14:17:27-04:00.csv:212,0,1717505330.1235313,2024-06-04T08:48:50.123531-04:00,1,0.000212,598.288439,D1,,1246549
2024-03-26T14:17:27-04:00.csv:216,0,1717505330.1288817,2024-06-04T08:48:50.128882-04:00,2,0.000216,598.293894,D2,,1246550
2024-03-26T14:17:27-04:00.csv:224,0,1717505330.1343803,2024-06-04T08:48:50.134380-04:00,3,0.000224,598.299293,D3,,1246551
2024-03-26T14:17:27-04:00.csv:212,0,1717505330.1400678,2024-06-04T08:48:50.140068-04:00,4,0.000212,598.304678,D4,,1246552
2024-03-26T14:17:27-04:00.csv:235,0,1717505330.145189,2024-06-04T08:48:50.145189-04:00,6,0.000235,598.310093,-ACK,,1246553
2024-03-26T14:17:27-04:00.csv:225,1,1717505995.729968,2024-06-04T08:59:55.729968-04:00,3,0.000225,190.168149,D3,,1246554
2024-03-26T14:17:27-04:00.csv:225,0,1717506900.4467008,2024-06-04T09:15:00.446701-04:00,3,0.000225,21.163402,D3,,1246555
2024-03-26T14:17:27-04:00.csv:213,1,1717506920.6223493,2024-06-04T09:15:20.622349-04:00,3,0.000213,41.339563,D3,,1246556
2024-03-26T14:17:27-04:00.csv:227,0,1717506920.791066,2024-06-04T09:15:20.791066-04:00,3,0.000227,41.508323,D3,,1246557
2024-03-26T14:17:27-04:00.csv:210,1,1717507067.8680518,2024-06-04T09:17:47.868052-04:00,3,0.00021,188.588656,D3,,1246558
2024-03-26T14:17:27-04:00.csv:223,0,1717507068.0241756,2024-06-04T09:17:48.024176-04:00,3,0.000223,188.744753,D3,,1246559
2024-03-26T14:17:27-04:00.csv:227,1,1717507079.5733888,2024-06-04T09:17:59.573389-04:00,3,0.000227,200.292328,D3,,1246560
2024-03-26T14:17:27-04:00.csv:222,0,1717507079.723048,2024-06-04T09:17:59.723048-04:00,3,0.000222,200.443881,D3,,1246561
2024-03-26T14:17:27-04:00.csv:224,1,1717507082.9481044,2024-06-04T09:18:02.948104-04:00,3,0.000224,203.669009,D3,,1246562
2024-03-26T14:17:27-04:00.csv:209,0,1717507083.1172001,2024-06-04T09:18:03.117200-04:00,3,0.000209,203.838116,D3,,1246563
2024-03-26T14:17:27-04:00.csv:220,1,1717507089.346314,2024-06-04T09:18:09.346314-04:00,3,0.00022,210.067368,D3,,1246564
2024-03-26T14:17:27-04:00.csv:223,0,1717507089.510373,2024-06-04T09:18:09.510373-04:00,3,0.000223,210.231379,D3,,1246565
2024-03-26T14:17:27-04:00.csv:210,1,1717507092.5585032,2024-06-04T09:18:12.558503-04:00,3,0.00021,213.279653,D3,,1246566
2024-03-26T14:17:27-04:00.csv:223,0,1717507092.711407,2024-06-04T09:18:12.711407-04:00,3,0.000223,213.432547,D3,,1246567
2024-03-26T14:17:27-04:00.csv:223,1,1717507131.9156458,2024-06-04T09:18:51.915646-04:00,3,0.000223,252.637667,D3,,1246568
2024-03-26T14:17:27-04:00.csv:214,0,1717507132.022089,2024-06-04T09:18:52.022089-04:00,3,0.000214,252.744112,D3,,1246569
2024-03-26T14:17:27-04:00.csv:224,1,1717507623.0170643,2024-06-04T09:27:03.017064-04:00,3,0.000224,743.748131,D3,,1246570
2024-03-26T14:17:27-04:00.csv:213,0,1717507623.1813126,2024-06-04T09:27:03.181313-04:00,3,0.000213,743.914389,D3,,1246571
2024-03-26T14:17:27-04:00.csv:211,1,1717507640.8879862,2024-06-04T09:27:20.887986-04:00,6,0.000211,761.621346,-ACK,,1246572
2024-03-26T14:17:27-04:00.csv:209,0,1717507640.907857,2024-06-04T09:27:20.907857-04:00,6,0.000209,761.64135,-ACK,,1246573
2024-03-26T14:17:27-04:00.csv:226,1,1717507642.887885,2024-06-04T09:27:22.887885-04:00,6,0.000226,763.621407,-ACK,,1246574
2024-03-26T14:17:27-04:00.csv:224,0,1717507642.9078352,2024-06-04T09:27:22.907835-04:00,6,0.000224,763.641397,-ACK,,1246575
2024-03-26T14:17:27-04:00.csv:226,1,1717507644.887905,2024-06-04T09:27:24.887905-04:00,6,0.000226,765.621451,-ACK,,1246576
2024-03-26T14:17:27-04:00.csv:224,0,1717507644.9078615,2024-06-04T09:27:24.907861-04:00,6,0.000224,765.641438,-ACK,,1246577
2024-03-26T14:17:27-04:00.csv:224,1,1717507646.8879213,2024-06-04T09:27:26.887921-04:00,6,0.000224,767.621496,-ACK,,1246578
2024-03-26T14:17:27-04:00.csv:221,0,1717507646.90787,2024-06-04T09:27:26.907870-04:00,6,0.000221,767.641495,-ACK,,1246579
2024-03-26T14:17:27-04:00.csv:223,1,1717507648.8880236,2024-06-04T09:27:28.888024-04:00,6,0.000223,769.621533,-ACK,,1246580
2024-03-26T14:17:27-04:00.csv:223,0,1717507648.907888,2024-06-04T09:27:28.907888-04:00,6,0.000223,769.641537,-ACK,,1246581
2024-03-26T14:17:27-04:00.csv:222,1,1717507650.8907483,2024-06-04T09:27:30.890748-04:00,6,0.000222,771.62158,-ACK,,1246582
2024-03-26T14:17:27-04:00.csv:222,0,1717507650.90783,2024-06-04T09:27:30.907830-04:00,6,0.000222,771.641573,-ACK,,1246583
2024-03-26T14:17:27-04:00.csv:223,1,1717507652.8886013,2024-06-04T09:27:32.888601-04:00,6,0.000223,773.62163,-ACK,,1246584
2024-03-26T14:17:27-04:00.csv:213,0,1717507652.9078217,2024-06-04T09:27:32.907822-04:00,6,0.000213,773.641609,-ACK,,1246585
2024-03-26T14:17:27-04:00.csv:221,1,1717507656.0693974,2024-06-04T09:27:36.069397-04:00,6,0.000221,775.621672,-ACK,,1246586
2024-03-26T14:17:27-04:00.csv:214,0,1717507656.0848572,2024-06-04T09:27:36.084857-04:00,6,0.000214,775.641654,-ACK,,1246587
2024-03-26T14:17:27-04:00.csv:223,1,1717507656.8880665,2024-06-04T09:27:36.888067-04:00,6,0.000223,777.62172,-ACK,,1246588
2024-03-26T14:17:27-04:00.csv:224,0,1717507656.9079256,2024-06-04T09:27:36.907926-04:00,6,0.000224,777.641717,-ACK,,1246589
2024-03-26T14:17:27-04:00.csv:211,1,1717507658.8879087,2024-06-04T09:27:38.887909-04:00,6,0.000211,779.621749,-ACK,,1246590
2024-03-26T14:17:27-04:00.csv:221,0,1717507658.9078515,2024-06-04T09:27:38.907851-04:00,6,0.000221,779.641752,-ACK,,1246591
2024-03-26T14:17:27-04:00.csv:212,1,1717507660.8883557,2024-06-04T09:27:40.888356-04:00,6,0.000212,781.621792,-ACK,,1246592
2024-03-26T14:17:27-04:00.csv:212,0,1717507660.9082766,2024-06-04T09:27:40.908277-04:00,6,0.000212,781.641781,-ACK,,1246593
2024-03-26T14:17:27-04:00.csv:227,1,1717507662.8884106,2024-06-04T09:27:42.888411-04:00,6,0.000227,783.621858,-ACK,,1246594
2024-03-26T14:17:27-04:00.csv:221,0,1717507662.908459,2024-06-04T09:27:42.908459-04:00,6,0.000221,783.641839,-ACK,,1246595
2024-03-26T14:17:27-04:00.csv:222,1,1717507664.8884635,2024-06-04T09:27:44.888463-04:00,6,0.000222,785.621894,-ACK,,1246596
2024-03-26T14:17:27-04:00.csv:226,0,1717507664.9082825,2024-06-04T09:27:44.908283-04:00,6,0.000226,785.641896,-ACK,,1246597
2024-03-26T14:17:27-04:00.csv:212,1,1717507666.8884106,2024-06-04T09:27:46.888411-04:00,6,0.000212,787.621927,-ACK,,1246598
2024-03-26T14:17:27-04:00.csv:222,0,1717507666.9083648,2024-06-04T09:27:46.908365-04:00,6,0.000222,787.641926,-ACK,,1246599
2024-03-26T14:17:27-04:00.csv:225,1,1717507668.888425,2024-06-04T09:27:48.888425-04:00,6,0.000225,789.621981,-ACK,,1246600
2024-03-26T14:17:27-04:00.csv:222,0,1717507668.9083977,2024-06-04T09:27:48.908398-04:00,6,0.000222,789.642,-ACK,,1246601
2024-03-26T14:17:27-04:00.csv:218,1,1717507670.888413,2024-06-04T09:27:50.888413-04:00,6,0.000218,791.622021,-ACK,,1246602
2024-03-26T14:17:27-04:00.csv:223,0,1717507670.9084976,2024-06-04T09:27:50.908498-04:00,6,0.000223,791.642024,-ACK,,1246603
2024-03-26T14:17:27-04:00.csv:220,1,1717507672.8884902,2024-06-04T09:27:52.888490-04:00,6,0.00022,793.622075,-ACK,,1246604
2024-03-26T14:17:27-04:00.csv:224,0,1717507672.9083965,2024-06-04T09:27:52.908396-04:00,6,0.000224,793.642076,-ACK,,1246605
2024-03-26T14:17:27-04:00.csv:225,1,1717507674.8884058,2024-06-04T09:27:54.888406-04:00,6,0.000225,795.622118,-ACK,,1246606
2024-03-26T14:17:27-04:00.csv:223,0,1717507674.908365,2024-06-04T09:27:54.908365-04:00,6,0.000223,795.642111,-ACK,,1246607
2024-03-26T14:17:27-04:00.csv:223,1,1717507676.888372,2024-06-04T09:27:56.888372-04:00,6,0.000223,797.622158,-ACK,,1246608
2024-03-26T14:17:27-04:00.csv:219,0,1717507676.9082766,2024-06-04T09:27:56.908277-04:00,6,0.000219,797.642151,-ACK,,1246609
2024-03-26T14:17:27-04:00.csv:221,1,1717507678.888393,2024-06-04T09:27:58.888393-04:00,6,0.000221,799.622203,-ACK,,1246610
2024-03-26T14:17:27-04:00.csv:222,0,1717507678.9084752,2024-06-04T09:27:58.908475-04:00,6,0.000222,799.642223,-ACK,,1246611
2024-03-26T14:17:27-04:00.csv:226,1,1717507680.8884811,2024-06-04T09:28:00.888481-04:00,6,0.000226,801.622251,-ACK,,1246612
2024-03-26T14:17:27-04:00.csv:221,0,1717507680.9083157,2024-06-04T09:28:00.908316-04:00,6,0.000221,801.642255,-ACK,,1246613
2024-03-26T14:17:27-04:00.csv:219,1,1717507682.8883612,2024-06-04T09:28:02.888361-04:00,6,0.000219,803.622295,-ACK,,1246614
2024-03-26T14:17:27-04:00.csv:221,0,1717507682.9082978,2024-06-04T09:28:02.908298-04:00,6,0.000221,803.642282,-ACK,,1246615
2024-03-26T14:17:27-04:00.csv:228,1,1717507684.888457,2024-06-04T09:28:04.888457-04:00,6,0.000228,805.622348,-ACK,,1246616
2024-03-26T14:17:27-04:00.csv:223,0,1717507684.908323,2024-06-04T09:28:04.908323-04:00,6,0.000223,805.64233,-ACK,,1246617
2024-03-26T14:17:27-04:00.csv:224,1,1717507686.888423,2024-06-04T09:28:06.888423-04:00,6,0.000224,807.622386,-ACK,,1246618
2024-03-26T14:17:27-04:00.csv:211,0,1717507686.9084635,2024-06-04T09:28:06.908463-04:00,6,0.000211,807.642368,-ACK,,1246619
2024-03-26T14:17:27-04:00.csv:221,1,1717507688.88797,2024-06-04T09:28:08.887970-04:00,6,0.000221,809.62243,-ACK,,1246620
2024-03-26T14:17:27-04:00.csv:226,0,1717507688.9080462,2024-06-04T09:28:08.908046-04:00,6,0.000226,809.642461,-ACK,,1246621
2024-03-26T14:17:27-04:00.csv:222,1,1717507690.8883808,2024-06-04T09:28:10.888381-04:00,6,0.000222,811.622477,-ACK,,1246622
2024-03-26T14:17:27-04:00.csv:225,0,1717507690.9083858,2024-06-04T09:28:10.908386-04:00,6,0.000225,811.642468,-ACK,,1246623
2024-03-26T14:17:27-04:00.csv:226,1,1717507692.8884494,2024-06-04T09:28:12.888449-04:00,6,0.000226,813.622524,-ACK,,1246624
2024-03-26T14:17:27-04:00.csv:222,0,1717507692.9083097,2024-06-04T09:28:12.908310-04:00,6,0.000222,813.642504,-ACK,,1246625
2024-03-26T14:17:27-04:00.csv:221,1,1717507694.8884654,2024-06-04T09:28:14.888465-04:00,6,0.000221,815.622564,-ACK,,1246626
2024-03-26T14:17:27-04:00.csv:222,0,1717507694.9084249,2024-06-04T09:28:14.908425-04:00,6,0.000222,815.642547,-ACK,,1246627
2024-03-26T14:17:27-04:00.csv:211,1,1717507696.888472,2024-06-04T09:28:16.888472-04:00,6,0.000211,817.622597,-ACK,,1246628
