isotime,session_id,mark_id,dicoms_isotime,dicoms_offset,dicoms_deviation,birch_isotime,birch_offset,birch_deviation,psychopy_isotime,psychopy_offset,psychopy_deviation,reproevents_isotime,reproevents_offset,reproevents_deviation,reprostim_video_isotime,reprostim_video_offset,reprostim_video_deviation
2024-08-09 10:27:30.350790,ses-20240809,mark_000052,2024-08-09 10:33:43.812500,373.46171,0.9999064016186199,2024-08-09 10:27:30.350790,0.0,1.0,,,,2024-08-09 10:27:30.343148,-0.007642000000000038,0.9999040804073304,,,
2024-08-09 10:27:30.350790,ses-20240809,mark_000053,2024-08-09 10:33:43.812500,373.46171,,2024-08-09 10:27:30.350790,0.0,1.0,,,,2024-08-09 10:27:30.343148,-0.007642000000000038,,,,
2024-08-09 10:27:32.339533,ses-20240809,mark_000054,2024-08-09 10:33:45.812500,373.472967,,2024-08-09 10:27:32.339533,0.0,1.0,,,,2024-08-09 10:27:32.343170,0.003637,,,,
2024-08-09 10:27:34.345982,ses-20240809,mark_000055,2024-08-09 10:33:47.812500,373.466518,,2024-08-09 10:27:34.345982,0.0,1.0,,,,2024-08-09 10:27:34.343159,-0.00282300000000002,,,,
2024-08-09 10:27:36.339689,ses-20240809,mark_000056,2024-08-09 10:33:49.812500,373.472811,,2024-08-09 10:27:36.339689,0.0,1.0,,,,2024-08-09 10:27:36.343217,0.003528,,,,
2024-08-09 10:27:38.342646,ses-20240809,mark_000057,2024-08-09 10:33:51.812500,373.469854,,2024-08-09 10:27:38.342646,0.0,1.0,,,,2024-08-09 10:27:38.343378,0.000732,,,,
2024-08-09 10:27:40.346365,ses-20240809,mark_000058,2024-08-09 10:33:53.812500,373.466135,,2024-08-09 10:27:40.346365,0.0,1.0,,,,2024-08-09 10:27:40.343170,-0.003194999999999948,,,,
2024-08-09 10:27:24.341075,ses-20240809,mark_000059,2024-08-09 10:33:55.812500,391.471425,,2024-08-09 10:27:24.341075,0.0,1.0,,,,2024-08-09 10:27:24.342855,0.00178,,,,
2024-08-09 10:27:26.341933,ses-20240809,mark_000060,2024-08-09 10:33:57.812500,391.470567,,2024-08-09 10:27:26.341933,0.0,1.0,,,,2024-08-09 10:27:26.342965,0.001032,,,,
2024-08-09 10:27:28.348352,ses-20240809,mark_000061,2024-08-09 10:33:59.812500,391.464148,,2024-08-09 10:27:28.348352,0.0,1.0,,,,2024-08-09 10:27:28.343230,-0.00512199999999996,,,,
2024-08-09 10:27:30.350790,ses-20240809,mark_000062,2024-08-09 10:34:01.812500,391.46171,,2024-08-09 10:27:30.350790,0.0,1.0,,,,2024-08-09 10:27:30.343148,-0.007642000000000038,,,,
2024-08-09 10:27:32.339533,ses-20240809,mark_000063,2024-08-09 10:34:03.812500,391.472967,,2024-08-09 10:27:32.339533,0.0,1.0,,,,2024-08-09 10:27:32.343170,0.003637,,,,
2024-08-09 10:27:34.345982,ses-20240809,mark_000064,2024-08-09 10:34:05.812500,391.466518,,2024-08-09 10:27:34.345982,0.0,1.0,,,,2024-08-09 10:27:34.343159,-0.00282300000000002,,,,
2024-08-09 10:27:36.339689,ses-20240809,mark_000065,2024-08-09 10:34:07.812500,391.472811,,2024-08-09 10:27:36.339689,0.0,1.0,,,,2024-08-09 10:27:36.343217,0.003528,,,,
2024-08-09 10:27:38.342646,ses-20240809,mark_000066,2024-08-09 10:34:09.812500,391.469854,,2024-08-09 10:27:38.342646,0.0,1.0,,,,2024-08-09 10:27:38.343378,0.000732,,,,
2024-08-09 10:27:40.346365,ses-20240809,mark_000067,2024-08-09 10:34:11.812500,391.466135,,2024-08-09 10:27:40.346365,0.0,1.0,,,,2024-08-09 10:27:40.343170,-0.003194999999999948,,,,
2024-08-09 10:27:40.346365,ses-20240809,mark_000068,2024-08-09 10:34:11.812500,391.466135,,2024-08-09 10:27:40.346365,0.0,1.0,,,,2024-08-09 10:27:40.343170,-0.003194999999999948,,,,
