dump_psychopy.py tool
Started on    : 2024-09-08 11:02:29.049523, vmelnik@Uranus
Working dir   : /Users/vmelnik/Projects/Dartmouth/branches/reproflow-data-sync/code
Session path  : /Users/vmelnik/Projects/Dartmouth/branches/typhon/reproflow-data-sync/ses-20240830
Session ID    : ses-20240830
Dumps path    : /Users/vmelnik/Projects/Dartmouth/branches/typhon/reproflow-data-sync/ses-20240830/timing-dumps
DICOMS dump   : /Users/vmelnik/Projects/Dartmouth/branches/typhon/reproflow-data-sync/ses-20240830/timing-dumps/dump_dicoms.jsonl
Psychopy path : /Users/vmelnik/Projects/Dartmouth/branches/typhon/reproflow-data-sync/ses-20240830/psychopy
QRInfo path   : /Users/vmelnik/Projects/Dartmouth/branches/typhon/reproflow-data-sync/ses-20240830/timing-dumps/dump_qrinfo.jsonl
Study range   : dicoms    2024-08-30 11:21:52.667500 - 2024-08-30 11:57:24.477500
              : psychopy  2024-08-30 11:22:19.662148 - 2024-08-30 11:57:51.472148
Loading QRInfo map from /Users/vmelnik/Projects/Dartmouth/branches/typhon/reproflow-data-sync/ses-20240830/timing-dumps/dump_qrinfo.jsonl
Psychopy log files: ['20240830_acq-med1_run-01.log', '20240830_acq-short2_run-01-05.log', '20240830_acq-short1_run-01.log', '20240830_acq-short1_run-03.log', '20240830_acq-short1_run-02.log', '20240830_acq-short1_run-04.log']
Psychopy log file: /Users/vmelnik/Projects/Dartmouth/branches/typhon/reproflow-data-sync/ses-20240830/psychopy/20240830_acq-med1_run-01.log
Time: 2024-08-30 11:44:39.749255, event: started, key0: None
Skip, out of study range: {'event': 'started', 'logfn': '20240830_acq-med1_run-01.log', 'time': 1725032679.7492554, 'time_formatted': '2024-08-30T11:44:39.749255-04:00'}
Time: 2024-08-30 11:44:40.866563, event: started, key0: None
Skip, out of study range: {'event': 'started', 'logfn': '20240830_acq-med1_run-01.log', 'time': 1725032680.8665633, 'time_formatted': '2024-08-30T11:44:40.866563-04:00'}
Time: 2024-08-30 11:44:41.012900, event: trigger, key0: 5
Time: 2024-08-30 11:44:54.552909, event: trigger, key0: 5
Time: 2024-08-30 11:44:56.543565, event: trigger, key0: 5
Time: 2024-08-30 11:44:58.609391, event: trigger, key0: 5
Time: 2024-08-30 11:45:00.569105, event: trigger, key0: 5
Time: 2024-08-30 11:45:02.555062, event: trigger, key0: 5
Time: 2024-08-30 11:45:04.554587, event: trigger, key0: 5
Time: 2024-08-30 11:45:06.557545, event: trigger, key0: 5
Time: 2024-08-30 11:45:08.537613, event: trigger, key0: 5
Time: 2024-08-30 11:45:10.541874, event: trigger, key0: 5
Time: 2024-08-30 11:45:12.543208, event: trigger, key0: 5
Time: 2024-08-30 11:45:14.535890, event: trigger, key0: 5
Time: 2024-08-30 11:45:16.551873, event: trigger, key0: 5
Time: 2024-08-30 11:45:18.535697, event: trigger, key0: 5
Time: 2024-08-30 11:45:20.555899, event: trigger, key0: 5
Time: 2024-08-30 11:45:22.555493, event: trigger, key0: 5
Time: 2024-08-30 11:45:24.543654, event: trigger, key0: 5
Time: 2024-08-30 11:45:26.535535, event: trigger, key0: 5
Time: 2024-08-30 11:45:28.552963, event: trigger, key0: 5
Time: 2024-08-30 11:45:30.540695, event: trigger, key0: 5
Time: 2024-08-30 11:45:32.535201, event: trigger, key0: 5
Time: 2024-08-30 11:45:34.535638, event: trigger, key0: 5
Time: 2024-08-30 11:45:36.535574, event: trigger, key0: 5
Time: 2024-08-30 11:45:38.534937, event: trigger, key0: 5
Time: 2024-08-30 11:45:40.543975, event: trigger, key0: 5
Time: 2024-08-30 11:45:42.564016, event: trigger, key0: 5
Time: 2024-08-30 11:45:44.542662, event: trigger, key0: 5
Time: 2024-08-30 11:45:46.545291, event: trigger, key0: 5
