isotime,duration,session_id,mark_id,mark_name,dicoms_id,dicoms_isotime,dicoms_offset,dicoms_duration,dicoms_deviation,birch_id,birch_isotime,birch_offset,birch_duration,birch_deviation,psychopy_id,psychopy_isotime,psychopy_offset,psychopy_duration,psychopy_deviation,reproevents_id,reproevents_isotime,reproevents_offset,reproevents_duration,reproevents_deviation,qrinfo_id,reprostim_video_isotime,reprostim_video_offset,reprostim_video_duration,reprostim_video_deviation
2024-08-30 11:35:49.470111,28.014127,ses-20240830,mark-000001,005-func-bold_task-rest_acq-short1_run-01_start,dicoms-000140,2024-08-30 11:35:22.702500,-26.767611,28.0,0.9994957187136334,birch-000015,2024-08-30 11:35:49.470111,0.0,28.014127,1.0,,,,,,,2024-08-30 11:35:49.469609001,-0.0005020000000000024,,,,2024-08-30 11:35:49.784898,0.314787,,
2024-08-30 11:35:49.470111,1.994806,ses-20240830,mark-000002,005-func-bold_task-rest_acq-short1_run-01_scan-0,dicoms-000140,2024-08-30 11:35:22.702500,-26.767611,2.0,1.0026037619698356,birch-000015,2024-08-30 11:35:49.470111,0.0,1.994806,1.0,,,,,,,2024-08-30 11:35:49.469609001,-0.0005020000000000024,,,,2024-08-30 11:35:49.784898,0.314787,,
2024-08-30 11:35:51.464917,2.008886,ses-20240830,mark-000003,005-func-bold_task-rest_acq-short1_run-01_scan-1,dicoms-000141,2024-08-30 11:35:24.702500,-26.762417,2.0,0.9955766529310275,birch-000016,2024-08-30 11:35:51.464917,0.0,2.008886,1.0,,,,,,,2024-08-30 11:35:51.464415001,-0.0005020000000000024,,,,2024-08-30 11:35:51.779704,0.314787,,
2024-08-30 11:35:53.473803,1.9975019999999999,ses-20240830,mark-000004,005-func-bold_task-rest_acq-short1_run-01_scan-2,dicoms-000142,2024-08-30 11:35:26.702500,-26.771303,2.0,1.001250561951878,birch-000017,2024-08-30 11:35:53.473803,0.0,1.9975019999999999,1.0,,,,,,,2024-08-30 11:35:53.473301001,-0.0005020000000000024,,,,2024-08-30 11:35:53.788590,0.314787,,
2024-08-30 11:35:55.471305,2.026542,ses-20240830,mark-000005,005-func-bold_task-rest_acq-short1_run-01_scan-3,dicoms-000143,2024-08-30 11:35:28.702500,-26.768805,2.0,0.9869028127717067,birch-000018,2024-08-30 11:35:55.471305,0.0,2.026542,1.0,,,,,,,2024-08-30 11:35:55.470803001,-0.0005020000000000024,,,,2024-08-30 11:35:55.786092,0.314787,,
2024-08-30 11:35:57.497847,2.000187,ses-20240830,mark-000006,005-func-bold_task-rest_acq-short1_run-01_scan-4,dicoms-000144,2024-08-30 11:35:30.702500,-26.795347,2.0,0.9999065087414327,birch-000019,2024-08-30 11:35:57.497847,0.0,2.000187,1.0,,,,,,,2024-08-30 11:35:57.497345001,-0.0005020000000000024,,,,2024-08-30 11:35:57.812634,0.314787,,
2024-08-30 11:35:59.498034,1.9675989999999999,ses-20240830,mark-000007,005-func-bold_task-rest_acq-short1_run-01_scan-5,dicoms-000145,2024-08-30 11:35:32.702500,-26.795534,2.0,1.016467278139499,birch-000020,2024-08-30 11:35:59.498034,0.0,1.9675989999999999,1.0,,,,,,,2024-08-30 11:35:59.497532001,-0.0005020000000000024,,,,2024-08-30 11:35:59.812821,0.314787,,
2024-08-30 11:36:01.465633,2.008704,ses-20240830,mark-000008,005-func-bold_task-rest_acq-short1_run-01_scan-6,dicoms-000146,2024-08-30 11:35:34.702500,-26.763133,2.0,0.9956668578347034,birch-000021,2024-08-30 11:36:01.465633,0.0,2.008704,1.0,,,,,,,2024-08-30 11:36:01.465131001,-0.0005020000000000024,,,,2024-08-30 11:36:01.780420,0.314787,,
2024-08-30 11:36:03.474337,1.9928919999999999,ses-20240830,mark-000009,005-func-bold_task-rest_acq-short1_run-01_scan-7,dicoms-000147,2024-08-30 11:35:36.702500,-26.771837,2.0,1.0035666759663846,birch-000022,2024-08-30 11:36:03.474337,0.0,1.9928919999999999,1.0,,,,,,,2024-08-30 11:36:03.473835001,-0.0005020000000000024,,,,2024-08-30 11:36:03.789124,0.314787,,
2024-08-30 11:36:05.467229,1.997638,ses-20240830,mark-000010,005-func-bold_task-rest_acq-short1_run-01_scan-8,dicoms-000148,2024-08-30 11:35:38.702500,-26.764729,2.0,1.0011823964101605,birch-000023,2024-08-30 11:36:05.467229,0.0,1.997638,1.0,,,,,,,2024-08-30 11:36:05.466727001,-0.0005020000000000024,,,,2024-08-30 11:36:05.782016,0.314787,,
